Grado,POBTOT_BC,PROM_HNV_BC
Primaria trunca,2.744457462,1.791597778
Primaria,3.561986224,1.334169206
Primaria,2.000112052,0.973526213
Secundaria,2.555818145,1.394626303
Primaria,4.623590097,1.347839081
Primaria,2.234822631,1.274475901
Secundaria,4.476342488,1.401180595
Primaria,3.840134213,1.354622588
Primaria,2.807714735,1.791597778
Primaria,4.273390114,1.471274113
Primaria,2.637393466,1.477471841
Primaria,2.865695503,1.313401568
Primaria,4.421058835,1.439858144
Secundaria,4.149894669,1.267275796
Secundaria,4.196321477,1.270880677
Preparatoria,4.650402304,1.089936323
Primaria,2.674916838,1.561432948
Primaria trunca,2.637393466,1.404445948
Primaria,3.11852702,1.30289662
Primaria,3.808188788,1.520090993
Primaria,3.760483911,1.263661204
Primaria,2.358194492,0.973526213
Primaria,3.191159381,1.181563055
Secundaria,2.164451056,0.725577031
Primaria,2.086754338,1.662413019
Primaria,2.086754338,1.443032374
Preparatoria,2.597772995,1.546809412
Primaria trunca,2.555818145,1.126550609
Preparatoria,2.744457462,1.094055211
Primaria,2.637393466,1.337599649
Primaria,3.456495985,1.162176907
Primaria,3.652430945,1.309909008
Primaria,2.000112052,1.728483342
Secundaria,3.561986224,1.430291
Secundaria,2.511249635,1.126550609
Primaria trunca,2.674916838,1.219507466
Primaria,5.423250641,1.316885106
Primaria,5.500518852,1.391337282
Secundaria,2.597772995,1.452511122
Preparatoria,2.463735744,1.256402655
Primaria,3.099066523,1.38804029
Primaria,2.234822631,1.181563055
Primaria,3.876392311,1.212004555
Primaria,2.086754338,1.948135303
Secundaria,2.637393466,1.458794032
Primaria,2.89295941,1.746440959
Primaria,2.837311238,1.394626303
Secundaria,2.744457462,1.017860419
Secundaria,3.015064485,1.417429676
Primaria,4.017126619,1.330730036
Secundaria,2.234822631,1.520090993
Secundaria,2.511249635,1.361372298
Primaria,2.637393466,1.578779943
Primaria,2.919184899,1.142503073
Secundaria,2.164451056,0.725577031
Primaria trunca,2.086754338,2.01940016
Secundaria,2.674916838,1.223243158
Primaria,3.456495985,1.468164723
Primaria,3.433143426,1.520090993
Primaria,4.311215119,1.520090993
Primaria,4.935527002,1.449358826
Primaria,2.463735744,1.520090993
Secundaria,3.015064485,1.48978403
Secundaria,1.659178241,0.416421864
Primaria,3.03706367,1.064948093
Primaria,3.433143426,1.234387937
Primaria,1.90231005,1.181563055
Preparatoria,6.264005927,1.146461296
Primaria,3.456495985,1.477471841
Primaria,4.083070212,1.55560205
Primaria,3.988567419,1.397907394
Secundaria,3.316191066,1.309909008
Primaria,2.358194492,1.102254504
Primaria trunca,3.330272376,1.774207324
Primaria,4.199744822,1.256402655
Secundaria,2.919184899,1.38804029
Primaria,3.058370539,1.181563055
Primaria,2.234822631,0.973526213
Secundaria,3.173729076,1.520090993
Primaria,2.744457462,1.662413019
Primaria,2.865695503,1.417429676
Primaria,2.086754338,0.610998431
Secundaria,2.164451056,0.855550319
Primaria,2.463735744,1.234387937
Primaria,2.710546369,1.452511122
Primaria,2.086754338,1.048020797
Primaria,2.674916838,1.181563055
Primaria trunca,2.000112052,0.855550319
Primaria,2.511249635,1.443032374
Secundaria,2.744457462,1.288761336
Primaria,1.90231005,1.604400862
Primaria,2.000112052,0.894491454
Primaria trunca,2.412878417,1.681227943
Primaria,3.079025749,1.267275796
Primaria,2.000112052,1.081659632
Primaria,2.299089791,1.604400862
Primaria,4.877225333,1.189238969
Primaria,4.359791028,1.371434282
Primaria,3.208144321,1.465048269
Primaria,4.687591085,1.498946356
Primaria trunca,1.790213214,1.361372298
Secundaria,2.555818145,1.064948093
Primaria,4.134838246,1.423875484
Primaria,4.40216201,1.465048269
Primaria,2.299089791,1.256402655
Primaria,3.882231452,1.361372298
Secundaria,2.234822631,1.245440562
Secundaria,2.412878417,1.181563055
Primaria,2.710546369,0.894491454
Primaria,2.358194492,1.181563055
Primaria,3.287086635,1.468164723
Primaria,2.710546369,1.748987804
Primaria,2.358194492,1.910004933
Preparatoria,3.444925472,1.215761286
Secundaria,3.927030659,1.142503073
Primaria,5.745973967,1.358001645
Primaria,3.921608198,1.43667653
Primaria,3.500801004,1.114458515
Primaria,4.432557106,1.295847534
Primaria,3.173729076,1.575903796
Secundaria,2.463735744,1.234387937
Primaria,3.03706367,1.323825317
Secundaria,4.296959179,1.30289662
Primaria trunca,1.90231005,1.417429676
Primaria trunca,2.164451056,1.520090993
Primaria,3.370781036,1.263661204
Primaria,2.358194492,1.081659632
Primaria,3.383742604,1.498946356
Primaria,1.90231005,1.181563055
Secundaria,3.833876737,1.189238969
Secundaria,3.099066523,1.181563055
Primaria,2.637393466,1.468164723
Preparatoria,4.232916654,0.884866413
Primaria,2.164451056,0.530433921
Primaria,3.099066523,1.816077799
Primaria,4.673017848,1.260036842
Primaria trunca,3.058370539,1.675877951
Primaria,2.299089791,1.30289662
Primaria,2.597772995,1.948135303
Primaria,1.90231005,2.01940016
Secundaria,4.048809909,1.334169206
Secundaria,2.234822631,1.004718045
Primaria,3.344056723,1.30289662
Primaria,2.637393466,1.114458515
Primaria,3.978737655,1.43667653
Primaria,3.408914121,1.215761286
Primaria,3.490008315,1.492844923
Primaria,1.501912842,0
Secundaria,2.086754338,0.855550319
Primaria trunca,3.03706367,1.581650145
Primaria,3.767528611,1.295847534
Primaria,3.643948456,1.564339223
Secundaria,2.919184899,1.150407716
Primaria,1.90231005,0.894491454
Primaria,2.674916838,1.643342
Secundaria,3.344056723,1.43667653
Primaria,3.03706367,1.543866075
Primaria,2.807714735,1.102254504
Preparatoria,2.234822631,0.894491454
Primaria,2.555818145,1.337599649
Secundaria,3.058370539,1.407703493
Primaria,3.079025749,1.791597778
Primaria,3.840134213,1.471274113
Primaria,3.208144321,1.501986959
Primaria trunca,2.597772995,1.707676533
Primaria,2.944445342,1.313401568
Primaria,4.223161906,1.364734593
Primaria,3.767528611,1.430291
Preparatoria,3.079025749,1.394626303
Primaria,3.11852702,0.908795244
Secundaria,4.46998774,0.955359893
Secundaria,2.555818145,1.181563055
Primaria,2.637393466,1.689214902
Primaria,3.571635424,1.089936323
Licenciatura o superior,2.086754338,0.725577031
Secundaria,5.897622406,1.089936323
Primaria,4.72509502,1.443032374
Preparatoria,3.421142295,0.973526213
Primaria trunca,3.490008315,1.532029678
Primaria,3.370781036,1.707676533
Secundaria,2.234822631,1.791597778
Primaria,2.968806696,1.035180085
Primaria,2.837311238,1.035180085
Primaria,3.821167007,1.414195317
Primaria,2.865695503,1.181563055
Primaria,3.11852702,1.573021677
Secundaria,2.234822631,1.048020797
Primaria,3.11852702,1.381422222
Preparatoria,4.860805873,0.865397052
Preparatoria,3.11852702,0.959925405
Preparatoria,4.920847535,0.955359893
Primaria,3.155830429,1.106335081
Primaria,2.511249635,1.458794032
Primaria,2.968806696,1.344434539
Primaria,2.358194492,1.791597778
Primaria,2.299089791,1.181563055
Primaria,3.058370539,1.267275796
Primaria,3.801595551,1.270880677
Primaria,2.89295941,1.483641724
Preparatoria,4.888225721,0.789626091
Primaria,2.710546369,1.223243158
Primaria,3.03706367,1.126550609
Primaria,2.412878417,1.256402655
Primaria,3.03706367,1.344434539
Primaria,4.69045958,1.391337282
Primaria,5.251173257,1.407703493
Primaria,5.242297798,1.505020863
Primaria,5.087481703,1.417429676
Primaria,3.927030659,1.675877951
Secundaria,5.374715644,1.404445948
Primaria,5.117635062,1.455656179
Primaria,5.087481703,1.471274113
Primaria,5.207274555,1.430291
Secundaria,5.895118532,1.351235081
Primaria,4.953317486,1.414195317
Primaria,4.33870826,1.384735284
Primaria,5.09751075,1.334169206
Primaria,4.452682341,1.313401568
Primaria,5.220955728,1.263661204
Primaria,4.565702494,1.391337282
Primaria,4.556654983,1.468164723
Secundaria,4.597102583,1.313401568
Primaria,5.075182244,1.514082695
Primaria,4.870104264,1.351235081
Primaria,4.499046647,1.575903796
Secundaria,5.706317527,1.38804029
Primaria,5.28243022,1.546809412
Primaria,5.171353271,1.384735284
Primaria,2.164451056,2.154185012
Primaria,5.51212931,1.313401568
Primaria,3.821167007,1.43667653
Primaria,5.346503071,1.471274113
Primaria,4.99531432,1.483641724
Primaria,5.430776695,1.347839081
Primaria,4.705971745,1.430291
Primaria,4.697565419,1.439858144
Primaria,5.409970335,1.38804029
Primaria,4.949807347,1.526073241
Primaria,5.191012421,1.427087009
Primaria,4.610505415,1.347839081
Primaria,4.291156537,1.443032374
Primaria,4.970523565,1.404445948
Primaria,5.215212894,1.410953269
Primaria,5.194307071,1.417429676
Secundaria,4.64265138,1.29937669
Primaria,4.766424323,1.364734593
Primaria,3.993422673,1.543866075
Primaria,4.091335254,1.57013356
Primaria,5.278281583,1.477471841
Secundaria,6.101405045,1.327282089
Primaria,4.977250487,1.5080481
Primaria trunca,1.90231005,2.01940016
Primaria,3.701047868,1.446199256
Primaria,3.256633169,1.578779943
Primaria,3.626632269,1.520090993
Primaria,3.78819356,1.313401568
Primaria,2.164451056,0.725577031
Primaria,2.463735744,1.477471841
Primaria,2.511249635,1.417429676
Primaria,2.234822631,1.88709415
Primaria,4.232916654,1.505020863
Primaria,3.357555905,1.378101063
Secundaria,2.597772995,1.520090993
Primaria,2.299089791,1.256402655
Secundaria,1.659178241,0.290570478
Secundaria,3.256633169,1.181563055
Primaria,3.287086635,1.420656386
Primaria trunca,1.659178241,1.181563055
Primaria,3.155830429,1.651547133
Primaria trunca,1.90231005,2.087336467
Primaria,2.992328459,1.204459184
Primaria,3.511414706,1.558520566
Primaria,3.54223676,1.433487494
Primaria,3.396450511,1.443032374
Secundaria,2.000112052,0.894491454
Primaria,2.463735744,1.948135303
Primaria,4.588557546,1.564339223
Primaria,2.511249635,1.520090993
Secundaria,2.234822631,2.01940016
Secundaria,3.137438665,1.204459184
Primaria,4.541865409,1.529054671
Primaria,2.807714735,1.215761286
Primaria,2.89295941,1.468164723
Secundaria,2.597772995,1.181563055
Secundaria,2.358194492,0.894491454
Secundaria,2.744457462,1.43667653
Primaria,2.299089791,1.394626303
Primaria,3.11852702,1.483641724
Primaria,3.500801004,1.323825317
Primaria,2.412878417,1.181563055
Primaria,2.674916838,1.245440562
Primaria,4.730437233,1.378101063
Primaria,3.208144321,1.615638269
Primaria,3.888015183,1.564339223
Primaria,2.807714735,1.110403056
Primaria,3.015064485,1.840144169
Primaria trunca,3.581140043,1.691867163
Primaria,4.795466356,1.526073241
Primaria,5.650483803,1.439858144
Primaria,5.341232029,1.526073241
Primaria,3.708795374,1.587372819
Sin escolaridad,1.659178241,1.791597778
Primaria,4.779930261,1.593072026
Primaria,5.267046564,1.477471841
Primaria,2.511249635,1.748987804
Primaria,5.575170014,1.458794032
Primaria,4.091335254,1.468164723
Primaria,5.436513442,1.397907394
Primaria,4.733088712,1.492844923
Primaria,3.532127347,1.430291
Primaria,5.334666233,1.417429676
Primaria trunca,2.234822631,2.252706506
Primaria,6.195696876,1.410953269
Primaria,4.44827166,1.384735284
Primaria,4.851341824,1.430291
Primaria,3.963685305,1.808777919
Primaria,5.39886173,1.439858144
Primaria,4.863923467,1.523085358
Primaria,4.543735752,1.517090116
Primaria,3.240862021,1.320359673
Primaria,4.955934741,1.417429676
Primaria,2.710546369,0.865397052
Primaria,4.804808167,1.43667653
Primaria trunca,1.306011992,0
Primaria,4.835184493,1.397907394
Primaria,5.104089358,1.486716307
Primaria,3.54223676,1.368088572
Primaria,4.239330085,1.474376475
Primaria,5.386751926,1.48978403
Primaria trunca,1.659178241,1.361372298
Primaria,3.876392311,1.97010324
Primaria,4.439345515,1.351235081
Primaria trunca,2.164451056,1.948135303
Primaria,4.251948309,1.659704441
Primaria,4.273390114,1.371434282
Primaria,3.456495985,1.532029678
Primaria,4.707360252,1.646082396
Primaria,4.636370821,1.673195288
Primaria,3.882231452,1.648817432
Primaria,4.480539418,1.430291
Primaria,3.617792274,1.443032374
Primaria,4.021756928,1.285204187
Primaria,5.31053944,1.452511122
Primaria trunca,2.299089791,1.88709415
Primaria,2.086754338,0.973526213
Primaria,3.408914121,1.62122318
Primaria,4.430276068,1.397907394
Primaria,2.463735744,1.320359673
Primaria trunca,2.234822631,1.520090993
Primaria,4.273390114,1.249104573
Primaria trunca,3.693202957,1.798986129
Primaria,3.058370539,1.181563055
Primaria,4.346705603,1.715515126
Primaria,3.272035984,1.391337282
Primaria,3.511414706,1.520090993
Primaria trunca,2.412878417,1.93255652
Primaria trunca,3.456495985,1.718118329
Primaria,5.563727098,1.397907394
Primaria trunca,2.358194492,1.468164723
Primaria trunca,2.944445342,1.648817432
Primaria trunca,2.412878417,1.181563055
Primaria,3.561986224,1.612837402
Primaria,3.316191066,1.230683332
Primaria,2.086754338,0.855550319
Secundaria,2.710546369,1.263661204
Primaria,3.015064485,1.640596224
Secundaria,2.637393466,1.344434539
Primaria,2.776802513,1.520090993
Primaria,2.674916838,1.384735284
Primaria,4.213240936,1.323825317
Primaria,4.463560376,1.323825317
Primaria trunca,2.164451056,1.662413019
Primaria,4.985539008,1.427087009
Secundaria,2.968806696,1.341021411
Primaria,2.234822631,1.13455091
Primaria,2.463735744,1.910004933
Primaria,3.015064485,2.07115483
Primaria,3.774493997,1.260036842
Primaria,3.91061563,1.154342408
Primaria,3.724007278,1.285204187
Secundaria,2.463735744,1.126550609
Secundaria,3.864543656,1.052273176
Primaria,2.000112052,1.520090993
Secundaria,2.463735744,1.181563055
Primaria,3.693202957,1.073330462
Primaria,3.330272376,1.263661204
Secundaria,2.299089791,0.927623138
Primaria,3.191159381,1.270880677
Primaria trunca,3.015064485,1.245440562
Primaria,4.906703526,1.281637601
Primaria,3.685258263,1.629558847
Primaria trunca,2.511249635,1.93255652
Preparatoria,2.412878417,1.274475901
Primaria,3.963685305,1.420656386
Primaria,4.432557106,1.520090993
Primaria,4.261235032,1.260036842
Secundaria,2.412878417,1.181563055
Primaria,5.438522092,1.371434282
Secundaria,5.69749712,1.368088572
Primaria,5.191563025,1.471274113
Primaria,5.425657961,1.351235081
Primaria,5.243291769,1.404445948
Primaria,5.031170459,1.505020863
Primaria,5.104089358,1.430291
Primaria,4.753845286,1.517090116
Primaria,4.703184048,1.537960545
Primaria,2.919184899,1.361372298
Secundaria,2.597772995,1.081659632
Secundaria,2.674916838,1.477471841
Primaria trunca,2.000112052,1.181563055
Primaria trunca,2.463735744,1.417429676
Primaria,2.555818145,1.327282089
Secundaria,2.744457462,1.394626303
Primaria,2.555818145,1.870836194
Primaria,5.298687019,1.498946356
Primaria,4.480539418,1.364734593
Primaria,4.698975525,1.361372298
Primaria,4.488840328,1.351235081
Secundaria,4.270375198,1.381422222
Secundaria,2.837311238,1.320359673
Secundaria,5.90159974,1.200670413
Primaria,3.968744658,1.468164723
Primaria,3.814712137,1.584514428
Secundaria,5.44909656,1.347839081
Primaria,4.665582736,1.430291
Primaria,5.092186349,1.417429676
Primaria,4.932805643,1.480560247
Secundaria,6.442153266,1.245440562
Primaria,5.113159594,1.2923091
Primaria,3.224705245,1.361372298
Primaria,4.308392036,1.285204187
Primaria,3.760483911,1.285204187
Secundaria,5.571639478,1.274475901
Primaria,2.511249635,1.520090993
Primaria,3.738856108,1.12253221
Primaria,5.007280772,1.364734593
Primaria trunca,1.659178241,1.417429676
Secundaria,3.330272376,1.430291
Primaria,5.516127429,1.316885106
Primaria,2.944445342,1.344434539
Primaria,5.077252713,1.461924717
Primaria,5.284720158,1.354622588
Primaria,4.673017848,1.423875484
Primaria,5.280590649,1.433487494
Primaria,3.794930974,1.414195317
Primaria,2.89295941,1.215761286
Preparatoria,3.626632269,1.158265447
Primaria,5.166172138,1.358001645
Secundaria,5.473943065,1.295847534
Primaria,5.233262172,1.401180595
Primaria,5.354900381,1.38804029
Primaria,5.007280772,1.423875484
Primaria,3.685258263,1.212004555
Secundaria,2.744457462,1.030871661
Primaria,2.555818145,1.561432948
Primaria,4.673017848,1.341021411
Primaria trunca,2.358194492,1.870836194
Secundaria,2.412878417,1.256402655
Primaria,4.889214512,1.397907394
Primaria trunca,2.299089791,1.578779943
Secundaria,4.115460181,1.423875484
Primaria,4.875200483,1.351235081
Primaria,4.427985794,1.189238969
Primaria,4.003016971,1.347839081
Primaria,3.532127347,1.30289662
Primaria,2.637393466,1.728483342
Primaria trunca,2.865695503,1.492844923
Primaria trunca,2.000112052,1.791597778
Primaria,4.17889751,1.364734593
Preparatoria,5.971441619,1.022211931
Primaria,2.511249635,1.604400862
Primaria,4.698975525,1.452511122
Primaria,3.876392311,1.575903796
Secundaria,2.710546369,1.520090993
Primaria,4.206531895,1.430291
Primaria,3.370781036,1.102254504
Primaria,3.7461495,1.397907394
Secundaria,2.744457462,1.832966798
Preparatoria,2.744457462,1.081659632
Primaria,2.674916838,1.181563055
Preparatoria,3.500801004,1.064948093
Licenciatura o superior,2.637393466,1.219507466
Primaria,3.490008315,1.427087009
Primaria,3.444925472,1.558520566
Primaria,2.555818145,1.230683332
Primaria trunca,2.710546369,1.520090993
Primaria trunca,2.412878417,2.101350256
Secundaria,3.693202957,1.130556816
Licenciatura o superior,2.234822631,1.791597778
Preparatoria,2.555818145,1.126550609
Preparatoria,5.262767288,0.884866413
Secundaria,4.72777271,1.341021411
Preparatoria,2.744457462,1.30289662
Primaria trunca,2.234822631,1.017860419
Preparatoria,1.90231005,1.615638269
Primaria,2.234822631,1.081659632
Primaria,2.637393466,1.404445948
Primaria,3.532127347,1.12253221
Primaria,3.767528611,1.252758585
Secundaria,4.236132216,1.126550609
Primaria,3.693202957,1.410953269
Secundaria,3.173729076,1.252758585
Primaria,2.358194492,0.894491454
Secundaria,3.479030753,1.110403056
Secundaria,3.058370539,1.142503073
Primaria,2.299089791,1.417429676
Primaria,2.511249635,1.384735284
Primaria trunca,2.164451056,1.081659632
Primaria,4.182424053,1.417429676
Primaria,4.938234334,1.2923091
Secundaria,3.953437466,1.30289662
Secundaria,3.137438665,1.085804493
Primaria,2.597772995,1.230683332
Primaria trunca,2.511249635,1.728483342
Secundaria,3.058370539,1.733637431
Primaria,3.015064485,1.593072026
Secundaria,3.444925472,1.181563055
Primaria trunca,2.164451056,1.181563055
Secundaria,2.776802513,1.102254504
Preparatoria,6.034873799,1.026548977
Primaria,2.555818145,1.791597778
Primaria,3.78819356,1.354622588
Primaria,3.058370539,1.320359673
Preparatoria,3.079025749,1.181563055
Primaria,3.396450511,1.410953269
Primaria,4.083070212,1.358001645
Preparatoria,5.974498497,0.969008445
Secundaria,2.710546369,0.779173765
Preparatoria,2.89295941,0.908795244
Primaria,3.888015183,1.401180595
Preparatoria,4.651939425,0.894491454
Secundaria,2.511249635,1.741333462
Primaria,5.738062314,1.245440562
Primaria trunca,2.086754338,2.275906646
Preparatoria,1.659178241,0.973526213
Preparatoria,4.22968321,1.004718045
Preparatoria,3.993422673,0.889687947
Preparatoria,4.091335254,0.904044961
Preparatoria,4.768905285,1.022211931
Preparatoria,3.532127347,0.964474883
Preparatoria,4.961991262,1.102254504
Primaria,3.833876737,1.474376475
Primaria,2.086754338,1.520090993
Secundaria,2.637393466,1.417429676
Primaria,5.653046245,1.430291
Primaria,4.394910292,1.358001645
Primaria,5.817638878,1.374771764
Primaria,4.756384672,1.474376475
Primaria,2.944445342,1.060736729
Primaria,4.24881938,1.477471841
Primaria,4.868051986,1.543866075
Primaria,2.299089791,1.707676533
Secundaria,2.412878417,1.57013356
Primaria,3.963685305,1.449358826
Primaria,2.164451056,1.593072026
Secundaria,5.251661751,1.354622588
Primaria,5.284263013,1.43667653
Primaria,4.41404611,1.483641724
Secundaria,2.555818145,1.520090993
Secundaria,3.490008315,1.354622588
Primaria,2.807714735,1.13455091
Primaria,2.463735744,1.520090993
Secundaria,1.659178241,1.361372298
Secundaria,3.467862138,1.230683332
Secundaria,2.164451056,1.327282089
Primaria,1.659178241,1.361372298
Primaria,2.086754338,1.181563055
Primaria,2.358194492,1.181563055
Secundaria,3.316191066,1.341021411
Primaria,3.421142295,1.295847534
Preparatoria,2.299089791,1.327282089
Primaria,3.137438665,1.624007271
Primaria,4.021756928,1.274475901
Primaria,5.011209135,1.347839081
Secundaria,2.358194492,1.520090993
Secundaria,2.637393466,1.30289662
Primaria,2.299089791,1.017860419
Primaria,3.015064485,0.894491454
Secundaria,2.944445342,1.486716307
Secundaria,3.256633169,1.407703493
Primaria trunca,2.555818145,1.394626303
Primaria,2.086754338,1.870836194
Secundaria,2.412878417,0.973526213
Preparatoria,4.633203395,1.138532969
Primaria,2.710546369,1.181563055
Primaria,3.882231452,1.446199256
Primaria,2.463735744,1.181563055
Secundaria,3.433143426,1.601577287
Primaria,4.294065158,1.471274113
Secundaria,2.164451056,0.894491454
Primaria,3.191159381,1.483641724
Primaria,2.511249635,1.861462435
Primaria,4.08721713,1.632326378
Primaria,3.753358144,1.414195317
Primaria,4.697565419,1.341021411
Primaria,2.555818145,1.30289662
Primaria,4.693313051,1.401180595
Secundaria,2.637393466,1.114458515
Primaria,3.708795374,1.430291
Secundaria,3.490008315,1.404445948
Primaria,3.272035984,1.498946356
Primaria,2.637393466,1.230683332
Primaria,5.215737689,1.285204187
Primaria,2.674916838,1.404445948
Secundaria,3.660800364,1.439858144
Primaria,3.490008315,1.505020863
Primaria,3.383742604,1.256402655
Secundaria,2.358194492,1.274475901
Primaria,2.776802513,1.181563055
Secundaria,2.674916838,1.57013356
Secundaria,2.637393466,1.443032374
Preparatoria,1.659178241,1.361372298
Secundaria,2.463735744,1.593072026
Primaria,2.358194492,1.791597778
Primaria,2.511249635,1.748987804
Primaria,3.058370539,1.150407716
Primaria,3.608826604,1.741333462
Primaria,4.026351678,1.558520566
Primaria,2.637393466,1.483641724
Secundaria,5.420484745,1.316885106
Secundaria,2.463735744,1.320359673
Primaria,5.108644584,1.549746501
Primaria,5.2869996,1.404445948
Primaria,3.731476034,1.731062739
Primaria,3.500801004,1.238082304
Primaria,4.81398986,1.543866075
Primaria,5.832159477,1.48978403
Primaria,4.841706354,1.439858144
Primaria,5.022052955,1.371434282
Secundaria,3.408914121,1.433487494
Primaria,5.075873327,1.501986959
Secundaria,4.920847535,1.391337282
Secundaria,5.980238596,1.351235081
Primaria,5.066112616,1.414195317
Primaria,4.463560376,1.401180595
Primaria,3.155830429,1.341021411
Primaria,5.687122296,1.410953269
Primaria,5.14126826,1.486716307
Primaria,2.086754338,2.169482701
Primaria,5.042346004,1.471274113
Primaria,5.113159594,1.401180595
Primaria,3.753358144,1.774207324
Primaria trunca,2.299089791,1.520090993
Primaria,2.968806696,1.344434539
Primaria,2.744457462,1.756600939
Primaria,4.078894111,1.665116371
Secundaria,3.532127347,1.285204187
Primaria,3.635349926,1.234387937
Secundaria,3.03706367,1.694514429
Primaria,1.501912842,1.361372298
Primaria,2.865695503,1.495899021
Primaria,3.91061563,1.520090993
Primaria,4.665582736,1.327282089
Primaria,2.412878417,1.361372298
Primaria,2.710546369,1.741333462
Secundaria,1.90231005,1.274475901
Primaria,1.790213214,0.973526213
Primaria,2.776802513,1.394626303
Primaria trunca,2.511249635,1.578779943
Secundaria,3.870496731,1.162176907
Secundaria,2.597772995,1.417429676
Primaria,4.375107857,1.374771764
Primaria trunca,2.000112052,1.468164723
Secundaria,2.164451056,1.181563055
Primaria,2.837311238,2.334935168
Primaria,2.299089791,1.256402655
Secundaria,2.358194492,1.181563055
Primaria,2.412878417,1.361372298
Secundaria,2.511249635,1.181563055
Secundaria,2.086754338,1.048020797
Primaria,2.919184899,1.624007271
Preparatoria,2.234822631,1.361372298
Primaria,2.086754338,1.081659632
Secundaria,2.000112052,1.181563055
Primaria,3.03706367,1.056511789
Primaria,2.597772995,1.114458515
Primaria,4.095424966,1.486716307
Secundaria,2.412878417,0.973526213
Primaria,2.412878417,1.57013356
Secundaria,2.234822631,1.017860419
Primaria,2.358194492,1.748987804
Secundaria,2.358194492,1.443032374
Secundaria,2.463735744,1.88709415
Secundaria,2.358194492,1.635088435
Secundaria,2.992328459,1.249104573
Primaria,3.479030753,1.267275796
Primaria,4.505082369,1.407703493
Secundaria,3.137438665,1.126550609
Primaria,2.555818145,1.635088435
Primaria,2.710546369,1.520090993
Primaria,2.164451056,1.520090993
Primaria trunca,2.299089791,2.275906646
Primaria,4.751293897,1.30289662
Primaria,2.412878417,1.102254504
Primaria,3.03706367,1.313401568
Primaria trunca,2.299089791,2.454356547
Primaria,4.061889821,1.309909008
Primaria,4.747444069,1.455656179
Primaria,3.058370539,1.150407716
Primaria,5.299131087,1.449358826
Primaria,2.865695503,1.910004933
Primaria,3.774493997,1.759129576
Primaria,4.394910292,1.575903796
Primaria,5.262767288,1.480560247
Primaria,3.882231452,1.612837402
Primaria,3.079025749,1.615638269
Primaria,3.701047868,1.705053943
Primaria,3.953437466,1.705053943
Primaria,2.807714735,1.662413019
Primaria,2.412878417,1.678555496
Secundaria,3.03706367,1.427087009
Primaria,2.776802513,1.707676533
Primaria,1.90231005,1.615638269
Primaria,2.358194492,1.458794032
Secundaria,2.637393466,1.064948093
Secundaria,1.790213214,0.973526213
Primaria,4.341386468,1.601577287
Primaria,5.29107644,1.443032374
Primaria,4.78595898,1.397907394
Primaria,4.536216388,1.458794032
